110,Buffalo,Grains Mix 110,42,176.40,2499.60
300,Bull,Grains Mix 300,4,308.00,1078.90
442,Tiger,Grains Mix 1,2,301.00,1001.50
225,Fish,Grains Mix 225,4,16.80,245.20
274,Sheep,Grains Mix 274,4,27.00,227.60
42,Sheep,Grains Mix 42,2,2.60,197.60
278,Bull,Grains Mix 278,2,17.80,196.00
207,Cow,Grains Mix 207,2,0.20,196.00
25,Sheep,Grains Mix 25,2,12.60,194.60
236,Cow,Grains Mix 236,2,19.40,194.20
285,Bull,Grains Mix 285,2,17.60,193.80
148,Sheep,Grains Mix 148,2,19.40,193.60
224,Bird,Grains Mix 224,2,0.60,193.40
157,Sheep,Grains Mix 157,2,18.80,192.80
223,Rabbit,Grains Mix 223,2,2.60,190.40
167,Goat,Grains Mix 167,2,9.00,190.40
11,Cow,Grains Mix 11,2,16.40,190.20
78,Sheep,Grains Mix 78,2,13.80,190.00
260,Cow,Grains Mix 260,2,2.40,189.60
14,Cow,Grains Mix 14,2,11.40,185.60
163,Sheep,Grains Mix 163,2,10.00,184.40
289,Bull,Grains Mix 289,2,10.80,184.40
255,Cow,Grains Mix 255,2,9.80,184.20
28,Sheep,Grains Mix 28,2,1.00,184.00
228,Bull,Grains Mix 228,2,1.60,184.00
217,Bird,Grains Mix 217,2,14.80,183.80
165,Sheep,Grains Mix 165,2,3.60,183.80
299,Bull,Grains Mix 299,2,8.80,182.40
96,Goat,Grains Mix 96,2,17.80,181.20
266,Cow,Grains Mix 266,2,13.80,180.60
155,Sheep,Grains Mix 155,2,16.00,178.80
243,Buffalo,Grains Mix 243,2,10.40,178.60
77,Sheep,Grains Mix 77,2,16.00,178.60
92,Goat,Grains Mix 92,2,20.00,178.00
108,Buffalo,Grains Mix 108,2,17.80,177.60
251,Bull,Grains Mix 251,2,1.40,177.20
183,Cow,Grains Mix 183,2,0.60,176.80
139,Sheep,Grains Mix 139,2,5.40,176.60
67,Sheep,Grains Mix 67,2,12.80,176.60
50,Sheep,Grains Mix 50,2,10.00,176.40
290,Bull,Grains Mix 290,2,4.00,176.00
168,Sheep,Grains Mix 168,2,18.00,176.00
193,Bull,Grains Mix 193,2,0.20,174.40
74,Sheep,Grains Mix 74,2,4.20,173.80
235,Bull,Grains Mix 235,2,5.60,173.20
182,Bull,Grains Mix 182,2,16.20,173.20
36,Sheep,Grains Mix 36,2,17.20,172.40
106,Buffalo,Grains Mix 106,2,16.60,171.40
7,Cow,Grains Mix 7,2,12.40,170.80
210,Cow,Grains Mix 210,2,5.00,169.60
233,Bull,Grains Mix 233,2,17.80,169.20
281,Bull,Grains Mix 281,2,19.00,168.60
13,Cow,Grains Mix 13,2,16.00,168.00
89,Goat,Grains Mix 89,2,6.40,167.40
202,Buffalo,Grains Mix 202,2,19.60,167.00
37,Sheep,Grains Mix 37,2,11.80,159.80
147,Sheep,Grains Mix 147,2,19.00,157.80
247,Cow,Grains Mix 247,2,0.60,157.60
86,Goat,Grains Mix 86,2,6.80,156.40
97,Goat,Grains Mix 97,2,2.80,155.20
146,Sheep,Grains Mix 146,2,17.80,154.40
141,Sheep,Grains Mix 141,2,16.80,154.40
169,Cow,Grains Mix 169,2,5.60,154.40
76,Sheep,Grains Mix 76,2,19.00,153.40
136,Sheep,Grains Mix 136,2,16.60,153.20
232,Bull,Grains Mix 232,2,13.00,152.40
197,Cow,Grains Mix 197,2,15.60,150.20
1,BUFFALO,Grains Mix 1,2,6.40,149.60
6,Cow,Grains Mix 6,2,17.00,149.60
153,Sheep,Grains Mix 153,2,8.40,149.40
188,Buffalo,Grains Mix 188,2,7.60,148.80
222,Cat,Grains Mix 222,2,8.00,148.00
176,Buffalo,Grains Mix 176,2,12.80,147.80
145,Sheep,Grains Mix 145,2,0.20,147.80
234,Bull,Grains Mix 234,2,1.00,145.40
242,Buffalo,Grains Mix 242,2,7.00,144.20
198,Cow,Grains Mix 198,2,13.40,144.20
100,Goat,Grains Mix 100,2,14.80,143.40
134,Sheep,Grains Mix 134,2,13.80,142.60
199,Buffalo,Grains Mix 199,2,12.40,141.40
3,Cow,Grains Mix 3,2,0.80,141.40
250,Bull,Grains Mix 250,2,20.00,141.00
269,Cow,Grains Mix 269,2,17.40,140.60
179,Bull,Grains Mix 179,2,2.40,140.60
254,Cow,Grains Mix 254,2,10.40,140.00
66,Sheep,Grains Mix 66,2,7.00,140.00
